595.33 --> 595.64 | SPEAKER_01
596.40 --> 600.52 | SPEAKER_02
598.59 --> 598.95 | SPEAKER_01
599.37 --> 601.40 | SPEAKER_01
602.88 --> 604.76 | SPEAKER_01
605.52 --> 606.80 | SPEAKER_01
605.99 --> 606.30 | SPEAKER_02
607.80 --> 611.25 | SPEAKER_01
611.68 --> 617.21 | SPEAKER_01
617.00 --> 619.21 | SPEAKER_02
617.54 --> 622.59 | SPEAKER_01
623.04 --> 627.33 | SPEAKER_01
627.92 --> 629.42 | SPEAKER_01
629.95 --> 631.18 | SPEAKER_01
630.78 --> 633.47 | SPEAKER_02
632.78 --> 633.80 | SPEAKER_01
634.42 --> 637.04 | SPEAKER_01
638.73 --> 639.80 | SPEAKER_01
640.50 --> 644.11 | SPEAKER_01
645.95 --> 646.92 | SPEAKER_01
647.68 --> 648.90 | SPEAKER_01
649.40 --> 651.54 | SPEAKER_01
652.37 --> 652.73 | SPEAKER_01
653.12 --> 658.54 | SPEAKER_01
654.52 --> 654.62 | SPEAKER_02
656.11 --> 656.52 | SPEAKER_02
657.85 --> 662.35 | SPEAKER_02
659.09 --> 659.64 | SPEAKER_01
660.71 --> 664.45 | SPEAKER_01
664.42 --> 664.99 | SPEAKER_02
665.25 --> 665.90 | SPEAKER_01
667.16 --> 671.28 | SPEAKER_01
671.37 --> 674.90 | SPEAKER_02
672.80 --> 675.90 | SPEAKER_01
675.87 --> 676.71 | SPEAKER_02
676.23 --> 678.68 | SPEAKER_01
679.00 --> 680.30 | SPEAKER_01
681.07 --> 682.64 | SPEAKER_01
683.02 --> 683.61 | SPEAKER_02
683.76 --> 685.28 | SPEAKER_01
685.78 --> 690.64 | SPEAKER_01
689.95 --> 692.18 | SPEAKER_02
692.52 --> 695.62 | SPEAKER_01
695.92 --> 696.37 | SPEAKER_02
696.37 --> 697.12 | SPEAKER_01
697.83 --> 702.54 | SPEAKER_01
703.07 --> 706.00 | SPEAKER_01
706.23 --> 706.73 | SPEAKER_03
707.57 --> 709.85 | SPEAKER_01
710.25 --> 711.02 | SPEAKER_01
711.90 --> 713.40 | SPEAKER_01
714.62 --> 716.25 | SPEAKER_01
718.30 --> 720.23 | SPEAKER_01
721.35 --> 721.71 | SPEAKER_01
722.40 --> 723.73 | SPEAKER_01
723.75 --> 723.83 | SPEAKER_01
723.88 --> 723.92 | SPEAKER_01
723.95 --> 725.23 | SPEAKER_01
725.52 --> 725.54 | SPEAKER_03
725.54 --> 725.57 | SPEAKER_01
725.57 --> 725.71 | SPEAKER_03
726.95 --> 729.16 | SPEAKER_01
729.62 --> 731.30 | SPEAKER_01
732.14 --> 733.14 | SPEAKER_01
734.25 --> 734.54 | SPEAKER_01
734.88 --> 735.49 | SPEAKER_01
736.07 --> 739.25 | SPEAKER_01
741.25 --> 743.54 | SPEAKER_01
744.11 --> 746.07 | SPEAKER_01
745.61 --> 747.00 | SPEAKER_03
747.42 --> 751.54 | SPEAKER_01
752.47 --> 753.97 | SPEAKER_01
754.26 --> 755.95 | SPEAKER_01
757.33 --> 758.12 | SPEAKER_01
758.26 --> 760.64 | SPEAKER_01
760.23 --> 761.62 | SPEAKER_03
762.57 --> 771.33 | SPEAKER_01
765.45 --> 766.33 | SPEAKER_03
771.85 --> 772.71 | SPEAKER_01
773.40 --> 774.78 | SPEAKER_01
774.99 --> 775.47 | SPEAKER_03
775.30 --> 776.49 | SPEAKER_01
776.42 --> 776.45 | SPEAKER_03
776.45 --> 778.38 | SPEAKER_02
776.95 --> 782.68 | SPEAKER_01
783.26 --> 786.97 | SPEAKER_01
786.25 --> 789.64 | SPEAKER_02
788.87 --> 789.85 | SPEAKER_01
790.90 --> 796.09 | SPEAKER_01
796.35 --> 796.92 | SPEAKER_02
796.92 --> 797.25 | SPEAKER_01
797.62 --> 799.87 | SPEAKER_01
799.97 --> 804.87 | SPEAKER_01
805.14 --> 805.66 | SPEAKER_03
805.66 --> 805.73 | SPEAKER_01
805.73 --> 805.75 | SPEAKER_03
806.00 --> 809.14 | SPEAKER_01
809.59 --> 811.25 | SPEAKER_01
811.75 --> 814.35 | SPEAKER_01
814.97 --> 818.28 | SPEAKER_01
818.85 --> 819.09 | SPEAKER_01
819.62 --> 822.61 | SPEAKER_01
819.64 --> 820.33 | SPEAKER_03
822.49 --> 823.52 | SPEAKER_03
822.71 --> 824.47 | SPEAKER_01
825.62 --> 831.59 | SPEAKER_01
831.78 --> 832.52 | SPEAKER_03
832.21 --> 832.99 | SPEAKER_01
832.97 --> 835.04 | SPEAKER_03
834.00 --> 838.04 | SPEAKER_01
838.00 --> 838.38 | SPEAKER_03
838.33 --> 842.25 | SPEAKER_01
840.04 --> 840.40 | SPEAKER_03
842.59 --> 845.88 | SPEAKER_01
844.87 --> 847.49 | SPEAKER_03
846.14 --> 846.59 | SPEAKER_01
847.47 --> 852.73 | SPEAKER_01
853.12 --> 853.38 | SPEAKER_03
853.28 --> 863.99 | SPEAKER_01
859.33 --> 859.68 | SPEAKER_03
859.68 --> 860.11 | SPEAKER_02
860.59 --> 861.23 | SPEAKER_02
862.23 --> 862.25 | SPEAKER_03
862.25 --> 863.85 | SPEAKER_02
864.18 --> 865.04 | SPEAKER_02
864.61 --> 868.40 | SPEAKER_01
865.49 --> 866.21 | SPEAKER_02
868.00 --> 869.62 | SPEAKER_02
869.35 --> 875.30 | SPEAKER_01
875.37 --> 876.28 | SPEAKER_02
876.28 --> 876.30 | SPEAKER_03
876.30 --> 876.45 | SPEAKER_02
876.30 --> 877.57 | SPEAKER_01
876.45 --> 876.92 | SPEAKER_03
876.92 --> 878.33 | SPEAKER_02
878.33 --> 878.47 | SPEAKER_03
878.47 --> 880.11 | SPEAKER_01
878.49 --> 878.66 | SPEAKER_03
880.07 --> 880.11 | SPEAKER_03
880.11 --> 880.68 | SPEAKER_00
884.99 --> 885.97 | SPEAKER_01
886.33 --> 887.49 | SPEAKER_01
887.64 --> 887.97 | SPEAKER_03
888.37 --> 889.40 | SPEAKER_01
889.57 --> 889.92 | SPEAKER_03
890.07 --> 891.45 | SPEAKER_01
890.42 --> 890.95 | SPEAKER_03
891.45 --> 891.78 | SPEAKER_03
891.78 --> 893.49 | SPEAKER_01
893.59 --> 893.97 | SPEAKER_03
894.21 --> 897.23 | SPEAKER_03
896.09 --> 898.88 | SPEAKER_01
898.61 --> 898.99 | SPEAKER_03
899.16 --> 900.11 | SPEAKER_01
901.95 --> 907.37 | SPEAKER_01
907.38 --> 907.87 | SPEAKER_03
907.87 --> 908.83 | SPEAKER_01
910.12 --> 912.33 | SPEAKER_01
912.49 --> 913.45 | SPEAKER_03
913.14 --> 917.97 | SPEAKER_01
914.37 --> 915.12 | SPEAKER_03
920.30 --> 930.59 | SPEAKER_01
929.59 --> 930.25 | SPEAKER_02
930.25 --> 930.28 | SPEAKER_03
930.83 --> 934.37 | SPEAKER_01
934.73 --> 936.04 | SPEAKER_01
937.07 --> 937.78 | SPEAKER_01
937.16 --> 946.16 | SPEAKER_02
943.78 --> 949.00 | SPEAKER_01
949.38 --> 951.45 | SPEAKER_01
951.99 --> 952.12 | SPEAKER_03
952.12 --> 953.21 | SPEAKER_02
952.21 --> 953.57 | SPEAKER_01
953.21 --> 953.23 | SPEAKER_03
954.83 --> 956.95 | SPEAKER_01
957.23 --> 958.73 | SPEAKER_01
959.23 --> 963.38 | SPEAKER_01
963.73 --> 967.71 | SPEAKER_01
967.18 --> 969.62 | SPEAKER_03
970.66 --> 972.26 | SPEAKER_01
972.75 --> 979.00 | SPEAKER_01
975.28 --> 975.64 | SPEAKER_03
979.25 --> 980.04 | SPEAKER_03
979.25 --> 985.12 | SPEAKER_01
985.62 --> 987.71 | SPEAKER_01
987.75 --> 988.25 | SPEAKER_03
988.26 --> 991.95 | SPEAKER_01
991.99 --> 992.49 | SPEAKER_03
992.42 --> 1001.52 | SPEAKER_01
993.33 --> 994.23 | SPEAKER_03
995.25 --> 995.64 | SPEAKER_03
1001.83 --> 1005.40 | SPEAKER_01
