1321.83 --> 1347.30 | SPEAKER_02
1348.92 --> 1358.97 | SPEAKER_02
1358.97 --> 1360.53 | SPEAKER_00
1359.87 --> 1365.93 | SPEAKER_02
1366.64 --> 1368.76 | SPEAKER_02
1369.50 --> 1382.97 | SPEAKER_02
1373.91 --> 1374.58 | SPEAKER_00
1374.58 --> 1374.63 | SPEAKER_01
1382.97 --> 1406.87 | SPEAKER_00
1404.35 --> 1420.97 | SPEAKER_02
1420.97 --> 1426.63 | SPEAKER_00
1426.63 --> 1430.74 | SPEAKER_02
1431.77 --> 1433.53 | SPEAKER_02
1433.53 --> 1438.12 | SPEAKER_00
1438.96 --> 1465.74 | SPEAKER_02
1449.46 --> 1449.48 | SPEAKER_01
1457.36 --> 1457.81 | SPEAKER_00
1469.07 --> 1499.97 | SPEAKER_02
1500.99 --> 1517.95 | SPEAKER_02
1509.87 --> 1511.15 | SPEAKER_00
1514.66 --> 1516.49 | SPEAKER_00
1519.15 --> 1525.97 | SPEAKER_02
1525.60 --> 1525.92 | SPEAKER_01
1525.97 --> 1571.43 | SPEAKER_00
1526.86 --> 1528.65 | SPEAKER_02
1545.09 --> 1546.22 | SPEAKER_01
1572.06 --> 1584.56 | SPEAKER_00
1572.43 --> 1575.45 | SPEAKER_02
1579.77 --> 1581.94 | SPEAKER_01
1584.56 --> 1588.10 | SPEAKER_02
1589.94 --> 1607.07 | SPEAKER_02
1595.63 --> 1596.68 | SPEAKER_00
1608.25 --> 1615.64 | SPEAKER_02
1616.61 --> 1650.88 | SPEAKER_02
1651.47 --> 1655.32 | SPEAKER_02
1656.80 --> 1665.56 | SPEAKER_02
1666.23 --> 1680.97 | SPEAKER_02
1680.97 --> 1694.48 | SPEAKER_00
1694.48 --> 1695.31 | SPEAKER_02
1695.31 --> 1696.47 | SPEAKER_00
1696.47 --> 1699.28 | SPEAKER_02
1700.41 --> 1719.53 | SPEAKER_02
1717.30 --> 1717.48 | SPEAKER_00
1719.53 --> 1722.80 | SPEAKER_00
1723.59 --> 1727.95 | SPEAKER_00
1726.97 --> 1729.53 | SPEAKER_02
1729.53 --> 1739.47 | SPEAKER_00
1740.37 --> 1768.78 | SPEAKER_02
1769.44 --> 1774.81 | SPEAKER_02
1775.48 --> 1790.57 | SPEAKER_02
1777.68 --> 1778.15 | SPEAKER_01
1784.44 --> 1784.68 | SPEAKER_01
1790.52 --> 1805.98 | SPEAKER_00
1805.47 --> 1808.86 | SPEAKER_02
1808.86 --> 1812.03 | SPEAKER_00
1812.03 --> 1813.98 | SPEAKER_01
1812.22 --> 1823.31 | SPEAKER_02
1822.48 --> 1824.49 | SPEAKER_00
1827.09 --> 1831.47 | SPEAKER_02
1831.47 --> 1833.60 | SPEAKER_00
1833.18 --> 1836.03 | SPEAKER_02
1835.04 --> 1852.92 | SPEAKER_00
1847.57 --> 1849.45 | SPEAKER_01
1852.92 --> 1873.58 | SPEAKER_02
1860.08 --> 1862.31 | SPEAKER_00
1864.03 --> 1864.89 | SPEAKER_00
1872.38 --> 1878.98 | SPEAKER_00
