583.11 --> 584.73 | SPEAKER_01
585.21 --> 589.71 | SPEAKER_01
590.62 --> 592.66 | SPEAKER_01
594.54 --> 595.35 | SPEAKER_02
595.35 --> 595.64 | SPEAKER_01
596.40 --> 599.73 | SPEAKER_02
599.73 --> 601.40 | SPEAKER_01
602.88 --> 604.76 | SPEAKER_01
605.52 --> 606.80 | SPEAKER_01
607.80 --> 611.25 | SPEAKER_01
611.68 --> 617.09 | SPEAKER_01
617.09 --> 617.66 | SPEAKER_02
617.66 --> 622.59 | SPEAKER_01
623.04 --> 627.33 | SPEAKER_01
627.92 --> 629.42 | SPEAKER_01
629.95 --> 630.97 | SPEAKER_01
630.97 --> 632.83 | SPEAKER_02
632.83 --> 633.80 | SPEAKER_01
634.42 --> 637.04 | SPEAKER_01
638.73 --> 639.80 | SPEAKER_01
640.50 --> 644.11 | SPEAKER_01
645.95 --> 646.92 | SPEAKER_01
647.68 --> 648.90 | SPEAKER_01
649.40 --> 651.54 | SPEAKER_01
652.37 --> 652.73 | SPEAKER_01
653.12 --> 658.12 | SPEAKER_01
658.12 --> 660.87 | SPEAKER_02
660.87 --> 662.12 | SPEAKER_01
662.12 --> 662.26 | SPEAKER_02
662.26 --> 664.42 | SPEAKER_01
664.42 --> 664.99 | SPEAKER_02
665.25 --> 665.90 | SPEAKER_01
667.16 --> 671.28 | SPEAKER_01
671.37 --> 672.92 | SPEAKER_02
672.92 --> 675.87 | SPEAKER_01
675.87 --> 676.42 | SPEAKER_02
676.42 --> 678.68 | SPEAKER_01
679.00 --> 680.30 | SPEAKER_01
681.07 --> 682.64 | SPEAKER_01
683.02 --> 683.61 | SPEAKER_02
683.76 --> 685.28 | SPEAKER_01
685.78 --> 690.09 | SPEAKER_01
690.09 --> 692.18 | SPEAKER_02
692.52 --> 695.62 | SPEAKER_01
695.92 --> 696.37 | SPEAKER_02
696.37 --> 697.12 | SPEAKER_01
697.83 --> 702.54 | SPEAKER_01
703.07 --> 706.00 | SPEAKER_01
706.23 --> 706.73 | SPEAKER_03
707.57 --> 709.85 | SPEAKER_01
710.25 --> 711.02 | SPEAKER_01
711.90 --> 713.40 | SPEAKER_01
714.62 --> 716.25 | SPEAKER_01
718.30 --> 720.23 | SPEAKER_01
721.35 --> 721.71 | SPEAKER_01
722.40 --> 723.73 | SPEAKER_01
723.75 --> 723.83 | SPEAKER_01
723.88 --> 723.92 | SPEAKER_01
723.95 --> 725.23 | SPEAKER_01
725.52 --> 725.54 | SPEAKER_03
725.54 --> 725.57 | SPEAKER_01
725.57 --> 725.71 | SPEAKER_03
726.95 --> 729.16 | SPEAKER_01
729.62 --> 731.30 | SPEAKER_01
732.14 --> 733.14 | SPEAKER_01
734.25 --> 734.54 | SPEAKER_01
734.88 --> 735.49 | SPEAKER_01
736.07 --> 739.25 | SPEAKER_01
741.25 --> 743.54 | SPEAKER_01
744.11 --> 745.92 | SPEAKER_01
745.92 --> 747.00 | SPEAKER_03
747.42 --> 751.54 | SPEAKER_01
752.47 --> 753.97 | SPEAKER_01
754.26 --> 755.95 | SPEAKER_01
757.33 --> 758.12 | SPEAKER_01
758.26 --> 760.37 | SPEAKER_01
760.37 --> 761.62 | SPEAKER_03
762.57 --> 765.83 | SPEAKER_01
765.83 --> 766.12 | SPEAKER_03
766.12 --> 771.33 | SPEAKER_01
771.85 --> 772.71 | SPEAKER_01
773.40 --> 774.78 | SPEAKER_01
774.99 --> 775.35 | SPEAKER_03
775.35 --> 776.47 | SPEAKER_01
776.47 --> 777.04 | SPEAKER_02
777.04 --> 782.68 | SPEAKER_01
783.26 --> 786.38 | SPEAKER_01
786.38 --> 788.97 | SPEAKER_02
788.97 --> 789.85 | SPEAKER_01
790.90 --> 796.09 | SPEAKER_01
796.35 --> 796.92 | SPEAKER_02
796.92 --> 797.25 | SPEAKER_01
797.62 --> 799.87 | SPEAKER_01
799.97 --> 804.87 | SPEAKER_01
805.14 --> 805.66 | SPEAKER_03
805.66 --> 805.73 | SPEAKER_01
805.73 --> 805.75 | SPEAKER_03
806.00 --> 809.14 | SPEAKER_01
809.59 --> 811.25 | SPEAKER_01
811.75 --> 814.35 | SPEAKER_01
814.97 --> 818.28 | SPEAKER_01
818.85 --> 819.09 | SPEAKER_01
819.62 --> 819.85 | SPEAKER_01
819.85 --> 819.88 | SPEAKER_03
819.88 --> 822.50 | SPEAKER_01
822.50 --> 822.90 | SPEAKER_03
822.90 --> 824.47 | SPEAKER_01
825.62 --> 831.59 | SPEAKER_01
831.78 --> 832.30 | SPEAKER_03
832.30 --> 832.97 | SPEAKER_01
832.97 --> 834.18 | SPEAKER_03
834.18 --> 838.02 | SPEAKER_01
838.02 --> 838.35 | SPEAKER_03
838.35 --> 842.25 | SPEAKER_01
842.59 --> 845.52 | SPEAKER_01
845.52 --> 846.26 | SPEAKER_03
846.26 --> 846.42 | SPEAKER_01
846.42 --> 847.47 | SPEAKER_03
847.47 --> 852.73 | SPEAKER_01
853.12 --> 853.28 | SPEAKER_03
853.28 --> 859.68 | SPEAKER_01
859.68 --> 859.78 | SPEAKER_02
859.78 --> 863.99 | SPEAKER_01
864.18 --> 864.66 | SPEAKER_02
864.66 --> 868.26 | SPEAKER_01
868.26 --> 869.42 | SPEAKER_02
869.42 --> 875.30 | SPEAKER_01
875.37 --> 876.28 | SPEAKER_02
876.28 --> 876.30 | SPEAKER_03
876.30 --> 877.49 | SPEAKER_01
877.49 --> 878.33 | SPEAKER_02
878.33 --> 878.47 | SPEAKER_03
878.47 --> 880.11 | SPEAKER_01
880.11 --> 880.68 | SPEAKER_00
884.99 --> 885.97 | SPEAKER_01
886.33 --> 887.49 | SPEAKER_01
887.64 --> 887.97 | SPEAKER_03
888.37 --> 889.40 | SPEAKER_01
889.57 --> 889.92 | SPEAKER_03
890.07 --> 891.45 | SPEAKER_01
891.45 --> 891.78 | SPEAKER_03
891.78 --> 893.49 | SPEAKER_01
893.59 --> 893.97 | SPEAKER_03
894.21 --> 896.45 | SPEAKER_03
896.45 --> 896.50 | SPEAKER_01
896.50 --> 897.04 | SPEAKER_03
897.04 --> 898.76 | SPEAKER_01
898.76 --> 898.99 | SPEAKER_03
899.16 --> 900.11 | SPEAKER_01
901.95 --> 907.37 | SPEAKER_01
907.38 --> 907.87 | SPEAKER_03
907.87 --> 908.83 | SPEAKER_01
910.12 --> 912.33 | SPEAKER_01
912.49 --> 913.18 | SPEAKER_03
913.18 --> 917.97 | SPEAKER_01
920.30 --> 930.59 | SPEAKER_01
930.83 --> 934.37 | SPEAKER_01
934.73 --> 936.04 | SPEAKER_01
937.07 --> 937.38 | SPEAKER_01
937.38 --> 943.83 | SPEAKER_02
943.83 --> 944.49 | SPEAKER_01
944.49 --> 944.52 | SPEAKER_02
944.52 --> 949.00 | SPEAKER_01
949.38 --> 951.45 | SPEAKER_01
951.99 --> 952.12 | SPEAKER_03
952.12 --> 952.26 | SPEAKER_02
952.26 --> 953.57 | SPEAKER_01
954.83 --> 956.95 | SPEAKER_01
957.23 --> 958.73 | SPEAKER_01
959.23 --> 963.38 | SPEAKER_01
963.73 --> 967.42 | SPEAKER_01
967.42 --> 967.45 | SPEAKER_03
967.45 --> 967.47 | SPEAKER_01
967.47 --> 969.62 | SPEAKER_03
970.66 --> 972.26 | SPEAKER_01
972.75 --> 979.00 | SPEAKER_01
979.25 --> 985.12 | SPEAKER_01
985.62 --> 987.71 | SPEAKER_01
987.75 --> 988.25 | SPEAKER_03
988.26 --> 991.95 | SPEAKER_01
991.99 --> 992.45 | SPEAKER_03
992.45 --> 993.50 | SPEAKER_01
993.50 --> 993.99 | SPEAKER_03
993.99 --> 1001.52 | SPEAKER_01
1001.83 --> 1005.40 | SPEAKER_01
1006.40 --> 1007.02 | SPEAKER_01
1007.64 --> 1008.78 | SPEAKER_01
1009.62 --> 1016.76 | SPEAKER_01
1017.23 --> 1020.45 | SPEAKER_01
1021.12 --> 1025.27 | SPEAKER_01
1025.40 --> 1026.05 | SPEAKER_03
1026.05 --> 1026.90 | SPEAKER_01
1026.90 --> 1026.92 | SPEAKER_03
1027.24 --> 1030.42 | SPEAKER_01
1031.35 --> 1033.90 | SPEAKER_01
1034.22 --> 1035.16 | SPEAKER_01
1036.01 --> 1038.61 | SPEAKER_01
1038.94 --> 1039.42 | SPEAKER_03
1039.42 --> 1040.27 | SPEAKER_01
1040.96 --> 1041.77 | SPEAKER_01
1042.44 --> 1043.72 | SPEAKER_01
1044.09 --> 1046.88 | SPEAKER_01
1046.88 --> 1047.40 | SPEAKER_03
1047.46 --> 1049.81 | SPEAKER_01
1049.81 --> 1050.74 | SPEAKER_03
1051.09 --> 1051.42 | SPEAKER_03
1051.42 --> 1057.24 | SPEAKER_01
1058.01 --> 1062.35 | SPEAKER_01
1062.66 --> 1066.64 | SPEAKER_01
1067.87 --> 1068.61 | SPEAKER_02
1068.61 --> 1073.51 | SPEAKER_01
1073.85 --> 1077.11 | SPEAKER_01
1077.11 --> 1077.57 | SPEAKER_02
1077.57 --> 1078.62 | SPEAKER_01
1078.62 --> 1083.05 | SPEAKER_02
1083.05 --> 1083.79 | SPEAKER_01
1083.79 --> 1083.85 | SPEAKER_02
1083.85 --> 1084.77 | SPEAKER_01
1084.77 --> 1085.92 | SPEAKER_02
1085.92 --> 1086.77 | SPEAKER_01
1086.77 --> 1088.38 | SPEAKER_02
1088.38 --> 1090.53 | SPEAKER_01
1091.01 --> 1093.12 | SPEAKER_01
1093.72 --> 1095.55 | SPEAKER_01
1095.74 --> 1096.22 | SPEAKER_01
1096.61 --> 1097.29 | SPEAKER_01
1097.29 --> 1099.51 | SPEAKER_02
1099.74 --> 1103.72 | SPEAKER_01
1104.29 --> 1106.88 | SPEAKER_01
1107.33 --> 1113.72 | SPEAKER_01
1113.72 --> 1114.31 | SPEAKER_02
1114.85 --> 1116.53 | SPEAKER_01
1116.57 --> 1116.98 | SPEAKER_02
1117.03 --> 1118.72 | SPEAKER_01
1119.14 --> 1120.37 | SPEAKER_02
1120.37 --> 1122.22 | SPEAKER_01
1122.22 --> 1122.51 | SPEAKER_02
1122.51 --> 1123.48 | SPEAKER_01
1123.66 --> 1124.14 | SPEAKER_02
1124.29 --> 1132.68 | SPEAKER_02
1132.68 --> 1137.09 | SPEAKER_01
1137.22 --> 1137.72 | SPEAKER_02
1137.72 --> 1146.37 | SPEAKER_01
1146.90 --> 1150.16 | SPEAKER_01
1151.79 --> 1154.01 | SPEAKER_01
1154.24 --> 1163.33 | SPEAKER_01
1163.77 --> 1165.18 | SPEAKER_01
1165.18 --> 1165.59 | SPEAKER_03
1166.05 --> 1172.38 | SPEAKER_01
1172.38 --> 1174.42 | SPEAKER_03
1174.42 --> 1176.16 | SPEAKER_01
1176.16 --> 1176.42 | SPEAKER_03
1176.42 --> 1179.24 | SPEAKER_01
1179.27 --> 1179.87 | SPEAKER_03
1179.87 --> 1182.35 | SPEAKER_01
1182.64 --> 1182.92 | SPEAKER_02
1182.92 --> 1183.38 | SPEAKER_01
1184.62 --> 1189.18 | SPEAKER_01
1189.18 --> 1189.55 | SPEAKER_02
1189.55 --> 1190.87 | SPEAKER_01
1190.87 --> 1192.38 | SPEAKER_02
1192.38 --> 1192.64 | SPEAKER_01
1192.64 --> 1192.66 | SPEAKER_02
1192.66 --> 1192.72 | SPEAKER_01
1192.72 --> 1192.74 | SPEAKER_02
1192.74 --> 1192.77 | SPEAKER_01
1192.77 --> 1192.79 | SPEAKER_02
1192.79 --> 1192.81 | SPEAKER_01
1192.81 --> 1193.72 | SPEAKER_02
1193.83 --> 1194.46 | SPEAKER_01
1194.46 --> 1194.66 | SPEAKER_02
1195.35 --> 1196.90 | SPEAKER_02
1196.90 --> 1201.35 | SPEAKER_01
1202.01 --> 1204.40 | SPEAKER_02
1204.79 --> 1207.22 | SPEAKER_02
1207.77 --> 1208.48 | SPEAKER_02
1209.11 --> 1211.37 | SPEAKER_02
1211.68 --> 1230.57 | SPEAKER_02
1230.57 --> 1230.59 | SPEAKER_01
1230.59 --> 1230.61 | SPEAKER_02
1230.61 --> 1231.83 | SPEAKER_01
1232.03 --> 1233.72 | SPEAKER_02
1233.72 --> 1234.07 | SPEAKER_01
1234.07 --> 1234.72 | SPEAKER_02
1234.72 --> 1234.79 | SPEAKER_01
1235.83 --> 1236.48 | SPEAKER_01
1236.88 --> 1240.55 | SPEAKER_01
1241.66 --> 1243.55 | SPEAKER_01
1245.61 --> 1247.79 | SPEAKER_01
1247.79 --> 1248.22 | SPEAKER_03
1250.40 --> 1254.12 | SPEAKER_01
1256.01 --> 1256.87 | SPEAKER_01
1257.92 --> 1260.35 | SPEAKER_01
1260.61 --> 1264.14 | SPEAKER_01
1264.85 --> 1267.46 | SPEAKER_01
1267.88 --> 1269.18 | SPEAKER_01
1270.77 --> 1274.37 | SPEAKER_01
1274.61 --> 1275.66 | SPEAKER_01
1276.14 --> 1277.55 | SPEAKER_01
1277.92 --> 1279.64 | SPEAKER_01
1280.57 --> 1282.11 | SPEAKER_01
1283.68 --> 1284.22 | SPEAKER_01
1284.27 --> 1289.01 | SPEAKER_01
1290.42 --> 1293.14 | SPEAKER_01
1293.70 --> 1295.38 | SPEAKER_01
1296.24 --> 1297.55 | SPEAKER_01
1298.40 --> 1299.90 | SPEAKER_01
1301.24 --> 1302.01 | SPEAKER_01
1302.66 --> 1303.96 | SPEAKER_01
1304.92 --> 1305.61 | SPEAKER_01
1306.01 --> 1308.40 | SPEAKER_01
1309.37 --> 1310.42 | SPEAKER_01
1311.37 --> 1312.51 | SPEAKER_01
1312.72 --> 1314.92 | SPEAKER_01
1315.16 --> 1315.72 | SPEAKER_03
1315.72 --> 1318.12 | SPEAKER_01
1318.77 --> 1320.01 | SPEAKER_01
1320.01 --> 1320.11 | SPEAKER_03
1321.81 --> 1323.83 | SPEAKER_01
1324.05 --> 1324.74 | SPEAKER_01
1325.01 --> 1326.98 | SPEAKER_01
1327.72 --> 1329.87 | SPEAKER_01
1330.55 --> 1331.05 | SPEAKER_03
1331.38 --> 1332.64 | SPEAKER_01
1332.81 --> 1333.61 | SPEAKER_01
1334.18 --> 1335.90 | SPEAKER_01
1336.20 --> 1336.72 | SPEAKER_03
1336.72 --> 1337.35 | SPEAKER_01
1337.64 --> 1346.27 | SPEAKER_01
1346.44 --> 1347.22 | SPEAKER_01
1348.90 --> 1357.64 | SPEAKER_01
1357.64 --> 1361.05 | SPEAKER_03
1361.05 --> 1362.46 | SPEAKER_01
1362.81 --> 1363.94 | SPEAKER_01
1364.37 --> 1365.68 | SPEAKER_01
1366.64 --> 1368.37 | SPEAKER_01
1369.51 --> 1372.61 | SPEAKER_01
1373.20 --> 1374.42 | SPEAKER_01
1374.42 --> 1374.59 | SPEAKER_03
1374.59 --> 1380.92 | SPEAKER_01
1381.07 --> 1381.29 | SPEAKER_02
1381.29 --> 1383.38 | SPEAKER_01
1383.38 --> 1395.79 | SPEAKER_02
1396.48 --> 1396.98 | SPEAKER_01
1397.22 --> 1400.68 | SPEAKER_02
1401.05 --> 1402.87 | SPEAKER_02
1403.11 --> 1403.62 | SPEAKER_01
1403.62 --> 1404.12 | SPEAKER_02
1404.12 --> 1404.72 | SPEAKER_01
1404.72 --> 1404.74 | SPEAKER_02
1404.74 --> 1406.24 | SPEAKER_01
1406.24 --> 1406.55 | SPEAKER_02
1406.55 --> 1415.24 | SPEAKER_01
1415.35 --> 1415.37 | SPEAKER_01
1415.37 --> 1415.51 | SPEAKER_02
1415.51 --> 1421.29 | SPEAKER_01
1421.29 --> 1424.98 | SPEAKER_02
1425.27 --> 1425.64 | SPEAKER_01
1425.72 --> 1426.40 | SPEAKER_02
1426.40 --> 1430.62 | SPEAKER_01
1431.74 --> 1432.57 | SPEAKER_01
1432.85 --> 1434.51 | SPEAKER_01
1434.98 --> 1437.98 | SPEAKER_02
1438.94 --> 1443.51 | SPEAKER_01
1444.46 --> 1449.40 | SPEAKER_01
1449.42 --> 1449.83 | SPEAKER_03
1450.88 --> 1451.35 | SPEAKER_01
1451.66 --> 1452.85 | SPEAKER_01
1453.01 --> 1453.68 | SPEAKER_03
1453.68 --> 1454.77 | SPEAKER_01
1454.77 --> 1454.96 | SPEAKER_03
